date,amount,merchant,category,description,transaction_type
2025-05-10T19:21:33.292856,15.885965363040825,Netflix,subscription,Netflix monthly subscription,expense
2025-05-10T19:21:33.292856,52.79059504492475,Adobe Creative,subscription,Adobe Creative monthly subscription,expense
2025-05-10T19:21:33.292856,10.122863039500464,Planet Fitness,fitness,Planet Fitness monthly subscription,expense
2025-05-10T19:21:33.292856,150.06800401018177,CrossFit Gym,fitness,CrossFit Gym monthly subscription,expense
2025-05-11T19:21:33.292856,10.359422230495161,Spotify,subscription,Spotify monthly subscription,expense
2025-05-11T19:21:33.292856,15.305807721443305,Amazon Prime,subscription,Amazon Prime monthly subscription,expense
2025-05-11T19:21:33.292856,12.785938338304105,Hulu,subscription,Hulu monthly subscription,expense
2025-05-12T04:17:33.292856,283.0,Gas Company,utilities,Purchase at Gas Company,expense
2025-05-12T06:02:33.292856,279.06,Gas Company,utilities,Purchase at Gas Company,expense
2025-05-12T09:24:33.292856,60.33,Concert Venue,entertainment,Purchase at Concert Venue,expense
2025-05-12T18:01:33.292856,75.66,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-05-12T19:21:33.292856,8.129432353926786,Disney Plus,subscription,Disney Plus monthly subscription,expense
2025-05-12T19:21:33.292856,89.32287366211906,Yoga Studio,fitness,Yoga Studio monthly subscription,expense
2025-05-13T19:21:33.292856,5.032483834185607,GitHub Pro,subscription,GitHub Pro monthly subscription,expense
2025-05-13T19:21:33.292856,40.439691110849495,24 Hour Fitness,fitness,24 Hour Fitness monthly subscription,expense
2025-05-14T19:23:33.292856,330.62,Apple Store,shopping,Purchase at Apple Store,expense
2025-05-14T19:55:33.292856,117.3,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-05-14T21:32:33.292856,473.79,Walmart,shopping,Purchase at Walmart,expense
2025-05-15T02:01:33.292856,48.46,PlayStation Store,entertainment,Purchase at PlayStation Store,expense
2025-05-15T12:17:33.292856,435.24,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-05-15T20:58:33.292856,15.97,Concert Venue,entertainment,Purchase at Concert Venue,expense
2025-05-15T22:27:33.292856,157.64,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-05-16T20:40:33.292856,40.08,Amazon,shopping,Purchase at Amazon,expense
2025-05-17T04:24:33.292856,630.27,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-05-17T19:11:33.292856,43.87,Chevron,transport,Purchase at Chevron,expense
2025-05-18T17:57:33.292856,102.25,Home Depot,shopping,Purchase at Home Depot,expense
2025-05-18T23:20:33.292856,74.53,Chevron,transport,Purchase at Chevron,expense
2025-05-19T04:54:33.292856,191.84,Walmart,shopping,Purchase at Walmart,expense
2025-05-19T14:16:33.292856,870.46,Gas Company,utilities,Purchase at Gas Company,expense
2025-05-19T17:15:33.292856,201.59,Amazon Prime,subscription,Purchase at Amazon Prime,expense
2025-05-19T19:52:33.292856,55.19,McDonalds,restaurant,Purchase at McDonalds,expense
2025-05-19T22:43:33.292856,381.4,Home Depot,shopping,Purchase at Home Depot,expense
2025-05-20T01:43:33.292856,150.72,Internet Provider,utilities,Purchase at Internet Provider,expense
2025-05-20T20:11:33.292856,34.05,Chevron,transport,Purchase at Chevron,expense
2025-05-23T09:58:33.292856,288.87,Internet Provider,utilities,Purchase at Internet Provider,expense
2025-05-23T13:57:33.292856,24.33,Netflix,subscription,Purchase at Netflix,expense
2025-05-23T15:06:33.292856,45.94,Spotify,subscription,Purchase at Spotify,expense
2025-05-23T15:48:33.292856,103.65,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-05-23T19:29:33.292856,293.95,Apple Store,shopping,Purchase at Apple Store,expense
2025-05-23T20:40:33.292856,113.39,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-05-24T05:32:33.292856,337.62,Walgreens,healthcare,Purchase at Walgreens,expense
2025-05-25T13:44:33.292856,26.44,Chipotle,restaurant,Purchase at Chipotle,expense
2025-05-25T15:23:33.292856,348.07,Apple Store,shopping,Purchase at Apple Store,expense
2025-05-26T07:14:33.292856,52.69,Starbucks,restaurant,Purchase at Starbucks,expense
2025-05-26T19:21:33.292856,4517.57481710866,Employer Inc,income,Monthly salary,income
2025-05-27T21:21:33.292856,109.21,PlayStation Store,entertainment,Purchase at PlayStation Store,expense
2025-05-28T07:46:33.292856,60.55,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-05-28T08:32:33.292856,124.67,Gas Company,utilities,Purchase at Gas Company,expense
2025-05-28T15:13:33.292856,179.53,Amazon,shopping,Purchase at Amazon,expense
2025-05-28T17:49:33.292856,105.23,Steam Games,entertainment,Purchase at Steam Games,expense
2025-05-29T00:09:33.292856,1194.2,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
